country,period,variable,value
AUS,1920-09-01,tas,18.91
AUS,1920-10-01,tas,22.41
AUS,1920-11-01,tas,25.24
AUS,1920-12-01,tas,26.38
AUS,1921-01-01,tas,27.29
AUS,1921-02-01,tas,27.36
AUS,1921-03-01,tas,24.77
AUS,1921-04-01,tas,21.54
AUS,1921-05-01,tas,19.05
AUS,1921-06-01,tas,15.9
AUS,1921-07-01,tas,14.88
AUS,1921-08-01,tas,15.0
AUS,1921-09-01,tas,19.07
AUS,1921-10-01,tas,21.64
AUS,1921-11-01,tas,25.54
AUS,1921-12-01,tas,26.73
AUS,1922-01-01,tas,27.19
AUS,1922-02-01,tas,27.29
AUS,1922-03-01,tas,25.17
AUS,1922-04-01,tas,22.74
AUS,1922-05-01,tas,17.41
AUS,1922-06-01,tas,14.58
AUS,1922-07-01,tas,12.73
AUS,1922-08-01,tas,14.99
AUS,1922-09-01,tas,18.79
AUS,1922-10-01,tas,22.57
AUS,1922-11-01,tas,25.65
AUS,1922-12-01,tas,26.44
AUS,1923-01-01,tas,27.52
AUS,1923-02-01,tas,28.28
AUS,1923-03-01,tas,26.1
AUS,1923-04-01,tas,22.57
AUS,1923-05-01,tas,18.63
AUS,1923-06-01,tas,14.43
AUS,1923-07-01,tas,13.32
AUS,1923-08-01,tas,14.77
AUS,1923-09-01,tas,18.11
AUS,1923-10-01,tas,21.86
AUS,1923-11-01,tas,24.62
AUS,1923-12-01,tas,27.0
AUS,1924-01-01,tas,26.68
AUS,1924-02-01,tas,26.18
AUS,1924-03-01,tas,24.47
AUS,1924-04-01,tas,20.36
AUS,1924-05-01,tas,17.69
AUS,1924-06-01,tas,14.35
AUS,1924-07-01,tas,14.53
AUS,1924-08-01,tas,15.68
AUS,1924-09-01,tas,19.18
AUS,1924-10-01,tas,21.92
AUS,1924-11-01,tas,24.62
AUS,1924-12-01,tas,25.9
AUS,1925-01-01,tas,26.41
AUS,1925-02-01,tas,26.67
AUS,1925-03-01,tas,24.97
AUS,1925-04-01,tas,21.5
AUS,1925-05-01,tas,17.47
AUS,1925-06-01,tas,14.63
AUS,1925-07-01,tas,12.82
AUS,1925-08-01,tas,14.74
AUS,1925-09-01,tas,17.45
AUS,1925-10-01,tas,21.86
AUS,1925-11-01,tas,25.58
AUS,1925-12-01,tas,27.57
AUS,1926-01-01,tas,27.78
AUS,1926-02-01,tas,28.5
AUS,1926-03-01,tas,25.66
AUS,1926-04-01,tas,22.2
AUS,1926-05-01,tas,16.71
AUS,1926-06-01,tas,14.44
AUS,1926-07-01,tas,14.55
AUS,1926-08-01,tas,15.87
AUS,1926-09-01,tas,19.18
AUS,1926-10-01,tas,22.86
AUS,1926-11-01,tas,25.57
AUS,1926-12-01,tas,26.39
AUS,1927-01-01,tas,27.53
AUS,1927-02-01,tas,26.29
AUS,1927-03-01,tas,25.15
AUS,1927-04-01,tas,21.23
AUS,1927-05-01,tas,16.98
AUS,1927-06-01,tas,15.01
AUS,1927-07-01,tas,13.58
AUS,1927-08-01,tas,15.48
AUS,1927-09-01,tas,19.06
AUS,1927-10-01,tas,22.75
AUS,1927-11-01,tas,25.78
AUS,1927-12-01,tas,26.56
AUS,1928-01-01,tas,27.08
AUS,1928-02-01,tas,26.79
AUS,1928-03-01,tas,25.54
AUS,1928-04-01,tas,22.75
AUS,1928-05-01,tas,17.13
AUS,1928-06-01,tas,14.17
AUS,1928-07-01,tas,13.95
AUS,1928-08-01,tas,16.82
AUS,1928-09-01,tas,20.1
AUS,1928-10-01,tas,22.56
AUS,1928-11-01,tas,25.67
AUS,1928-12-01,tas,27.4
AUS,1929-01-01,tas,27.55
AUS,1929-02-01,tas,27.8
AUS,1929-03-01,tas,24.56
AUS,1929-04-01,tas,20.65
AUS,1929-05-01,tas,17.1
AUS,1929-06-01,tas,14.07
AUS,1929-07-01,tas,12.57
AUS,1929-08-01,tas,15.56
AUS,1929-09-01,tas,18.19
AUS,1929-10-01,tas,22.23
AUS,1929-11-01,tas,25.18
AUS,1929-12-01,tas,26.16
AUS,1930-01-01,tas,27.45
AUS,1930-02-01,tas,27.62
AUS,1930-03-01,tas,25.55
AUS,1930-04-01,tas,21.51
AUS,1930-05-01,tas,17.92
AUS,1930-06-01,tas,14.98
AUS,1930-07-01,tas,14.59
AUS,1930-08-01,tas,15.62
AUS,1930-09-01,tas,18.84
AUS,1930-10-01,tas,22.43
AUS,1930-11-01,tas,25.28
AUS,1930-12-01,tas,26.62
AUS,1931-01-01,tas,27.38
AUS,1931-02-01,tas,26.88
AUS,1931-03-01,tas,25.17
AUS,1931-04-01,tas,21.33
AUS,1931-05-01,tas,17.7
AUS,1931-06-01,tas,14.88
AUS,1931-07-01,tas,13.86
AUS,1931-08-01,tas,15.66
AUS,1931-09-01,tas,18.97
AUS,1931-10-01,tas,21.44
AUS,1931-11-01,tas,24.05
AUS,1931-12-01,tas,27.14
AUS,1932-01-01,tas,29.26
AUS,1932-02-01,tas,26.99
AUS,1932-03-01,tas,25.41
AUS,1932-04-01,tas,21.38
AUS,1932-05-01,tas,18.26
AUS,1932-06-01,tas,14.35
AUS,1932-07-01,tas,13.58
AUS,1932-08-01,tas,15.34
AUS,1932-09-01,tas,18.59
AUS,1932-10-01,tas,21.75
AUS,1932-11-01,tas,25.27
AUS,1932-12-01,tas,26.82
AUS,1933-01-01,tas,27.59
AUS,1933-02-01,tas,27.36
AUS,1933-03-01,tas,25.91
AUS,1933-04-01,tas,21.89
AUS,1933-05-01,tas,17.73
AUS,1933-06-01,tas,15.15
AUS,1933-07-01,tas,13.55
AUS,1933-08-01,tas,14.76
AUS,1933-09-01,tas,18.65
AUS,1933-10-01,tas,22.4
AUS,1933-11-01,tas,24.31
AUS,1933-12-01,tas,26.17
AUS,1934-01-01,tas,28.03
AUS,1934-02-01,tas,27.26
AUS,1934-03-01,tas,25.94
AUS,1934-04-01,tas,21.21
AUS,1934-05-01,tas,18.5
AUS,1934-06-01,tas,14.66
AUS,1934-07-01,tas,14.01
AUS,1934-08-01,tas,15.45
AUS,1934-09-01,tas,19.13
AUS,1934-10-01,tas,21.75
AUS,1934-11-01,tas,24.32
AUS,1934-12-01,tas,26.61
AUS,1935-01-01,tas,27.53
AUS,1935-02-01,tas,27.1
AUS,1935-03-01,tas,25.29
AUS,1935-04-01,tas,21.02
AUS,1935-05-01,tas,17.21
AUS,1935-06-01,tas,14.11
AUS,1935-07-01,tas,13.79
AUS,1935-08-01,tas,15.92
AUS,1935-09-01,tas,18.7
AUS,1935-10-01,tas,22.48
AUS,1935-11-01,tas,25.47
AUS,1935-12-01,tas,27.01
AUS,1936-01-01,tas,27.93
AUS,1936-02-01,tas,27.21
AUS,1936-03-01,tas,25.19
AUS,1936-04-01,tas,21.02
AUS,1936-05-01,tas,17.69
AUS,1936-06-01,tas,13.88
AUS,1936-07-01,tas,14.34
AUS,1936-08-01,tas,16.78
AUS,1936-09-01,tas,18.93
AUS,1936-10-01,tas,22.68
AUS,1936-11-01,tas,25.48
AUS,1936-12-01,tas,27.06
AUS,1937-01-01,tas,27.18
AUS,1937-02-01,tas,27.13
AUS,1937-03-01,tas,25.4
AUS,1937-04-01,tas,21.04
AUS,1937-05-01,tas,18.04
AUS,1937-06-01,tas,14.01
AUS,1937-07-01,tas,13.38
AUS,1937-08-01,tas,15.71
AUS,1937-09-01,tas,19.0
AUS,1937-10-01,tas,23.18
AUS,1937-11-01,tas,25.96
AUS,1937-12-01,tas,27.25
AUS,1938-01-01,tas,27.6
AUS,1938-02-01,tas,26.5
AUS,1938-03-01,tas,26.09
AUS,1938-04-01,tas,22.43
AUS,1938-05-01,tas,18.98
AUS,1938-06-01,tas,14.82
AUS,1938-07-01,tas,13.86
AUS,1938-08-01,tas,15.45
AUS,1938-09-01,tas,19.33
AUS,1938-10-01,tas,23.21
AUS,1938-11-01,tas,26.25
AUS,1938-12-01,tas,28.04
AUS,1939-01-01,tas,28.82
AUS,1939-02-01,tas,27.33
AUS,1939-03-01,tas,25.21
AUS,1939-04-01,tas,21.92
AUS,1939-05-01,tas,18.68
AUS,1939-06-01,tas,14.73
AUS,1939-07-01,tas,13.17
AUS,1939-08-01,tas,14.81
AUS,1939-09-01,tas,18.19
AUS,1939-10-01,tas,21.72
AUS,1939-11-01,tas,24.39
AUS,1939-12-01,tas,26.68
AUS,1940-01-01,tas,27.89
AUS,1940-02-01,tas,26.62
AUS,1940-03-01,tas,26.05
AUS,1940-04-01,tas,21.04
AUS,1940-05-01,tas,16.82
AUS,1940-06-01,tas,15.23
AUS,1940-07-01,tas,13.84
AUS,1940-08-01,tas,16.05
AUS,1940-09-01,tas,19.25
AUS,1940-10-01,tas,23.57
AUS,1940-11-01,tas,24.79
AUS,1940-12-01,tas,27.45
AUS,1941-01-01,tas,26.22
AUS,1941-02-01,tas,26.66
AUS,1941-03-01,tas,24.32
AUS,1941-04-01,tas,21.99
AUS,1941-05-01,tas,17.73
AUS,1941-06-01,tas,14.52
AUS,1941-07-01,tas,14.08
AUS,1941-08-01,tas,15.12
AUS,1941-09-01,tas,18.81
AUS,1941-10-01,tas,21.76
AUS,1941-11-01,tas,25.55
AUS,1941-12-01,tas,27.28
AUS,1942-01-01,tas,28.16
AUS,1942-02-01,tas,26.5
AUS,1942-03-01,tas,25.77
AUS,1942-04-01,tas,22.09
AUS,1942-05-01,tas,18.81
AUS,1942-06-01,tas,15.58
AUS,1942-07-01,tas,14.2
AUS,1942-08-01,tas,16.58
AUS,1942-09-01,tas,19.48
AUS,1942-10-01,tas,22.02
AUS,1942-11-01,tas,25.07
AUS,1942-12-01,tas,26.66
AUS,1943-01-01,tas,27.44
AUS,1943-02-01,tas,26.66
AUS,1943-03-01,tas,26.26
AUS,1943-04-01,tas,21.44
AUS,1943-05-01,tas,17.07
AUS,1943-06-01,tas,13.79
AUS,1943-07-01,tas,13.49
AUS,1943-08-01,tas,14.8
AUS,1943-09-01,tas,18.68
AUS,1943-10-01,tas,22.38
AUS,1943-11-01,tas,24.45
AUS,1943-12-01,tas,26.78
AUS,1944-01-01,tas,28.39
AUS,1944-02-01,tas,26.39
AUS,1944-03-01,tas,25.07
AUS,1944-04-01,tas,20.77
AUS,1944-05-01,tas,16.35
AUS,1944-06-01,tas,14.44
AUS,1944-07-01,tas,13.93
AUS,1944-08-01,tas,15.77
AUS,1944-09-01,tas,19.85
AUS,1944-10-01,tas,22.63
AUS,1944-11-01,tas,26.21
AUS,1944-12-01,tas,26.46
AUS,1945-01-01,tas,27.27
AUS,1945-02-01,tas,26.72
AUS,1945-03-01,tas,24.95
AUS,1945-04-01,tas,22.04
AUS,1945-05-01,tas,17.71
AUS,1945-06-01,tas,15.97
AUS,1945-07-01,tas,13.33
AUS,1945-08-01,tas,16.8
AUS,1945-09-01,tas,18.59
AUS,1945-10-01,tas,21.52
AUS,1945-11-01,tas,24.77
AUS,1945-12-01,tas,27.2
AUS,1946-01-01,tas,27.65
AUS,1946-02-01,tas,26.25
AUS,1946-03-01,tas,24.05
AUS,1946-04-01,tas,20.27
AUS,1946-05-01,tas,18.28
AUS,1946-06-01,tas,13.33
AUS,1946-07-01,tas,14.3
AUS,1946-08-01,tas,15.71
AUS,1946-09-01,tas,18.81
AUS,1946-10-01,tas,21.86
AUS,1946-11-01,tas,25.23
AUS,1946-12-01,tas,27.11
AUS,1947-01-01,tas,28.75
AUS,1947-02-01,tas,27.34
AUS,1947-03-01,tas,25.28
AUS,1947-04-01,tas,20.86
AUS,1947-05-01,tas,18.13
AUS,1947-06-01,tas,15.42
AUS,1947-07-01,tas,14.25
AUS,1947-08-01,tas,15.62
AUS,1947-09-01,tas,18.39
AUS,1947-10-01,tas,21.45
AUS,1947-11-01,tas,24.24
AUS,1947-12-01,tas,26.25
AUS,1948-01-01,tas,26.99
AUS,1948-02-01,tas,27.62
AUS,1948-03-01,tas,24.83
AUS,1948-04-01,tas,21.0
AUS,1948-05-01,tas,17.18
AUS,1948-06-01,tas,14.34
AUS,1948-07-01,tas,13.81
AUS,1948-08-01,tas,16.04
AUS,1948-09-01,tas,18.77
AUS,1948-10-01,tas,22.47
AUS,1948-11-01,tas,24.97
AUS,1948-12-01,tas,26.78
AUS,1949-01-01,tas,27.05
