year,season,enso,index,month,period,assumed_available_at
1963,SON,1.1,roni,10,1963-10-01,1963-12-05
1963,OND,1.1,roni,11,1963-11-01,1964-01-05
1963,NDJ,1.1,roni,12,1963-12-01,1964-02-05
1964,DJF,1.0,roni,1,1964-01-01,1964-03-05
1964,JFM,0.6,roni,2,1964-02-01,1964-04-05
1964,FMA,0.1,roni,3,1964-03-01,1964-05-05
1964,MAM,-0.4,roni,4,1964-04-01,1964-06-05
1964,AMJ,-0.7,roni,5,1964-05-01,1964-07-05
1964,MJJ,-0.7,roni,6,1964-06-01,1964-08-05
1964,JJA,-0.6,roni,7,1964-07-01,1964-09-05
1964,JAS,-0.5,roni,8,1964-08-01,1964-10-05
1964,ASO,-0.5,roni,9,1964-09-01,1964-11-05
1964,SON,-0.6,roni,10,1964-10-01,1964-12-05
1964,OND,-0.6,roni,11,1964-11-01,1965-01-05
1964,NDJ,-0.5,roni,12,1964-12-01,1965-02-05
1965,DJF,-0.2,roni,1,1965-01-01,1965-03-05
1965,JFM,0.1,roni,2,1965-02-01,1965-04-05
1965,FMA,0.2,roni,3,1965-03-01,1965-05-05
1965,MAM,0.4,roni,4,1965-04-01,1965-06-05
1965,AMJ,0.6,roni,5,1965-05-01,1965-07-05
1965,MJJ,1.0,roni,6,1965-06-01,1965-08-05
1965,JJA,1.3,roni,7,1965-07-01,1965-09-05
1965,JAS,1.5,roni,8,1965-08-01,1965-10-05
1965,ASO,1.8,roni,9,1965-09-01,1965-11-05
1965,SON,1.9,roni,10,1965-10-01,1965-12-05
1965,OND,2.0,roni,11,1965-11-01,1966-01-05
1965,NDJ,1.8,roni,12,1965-12-01,1966-02-05
1966,DJF,1.5,roni,1,1966-01-01,1966-03-05
1966,JFM,1.3,roni,2,1966-02-01,1966-04-05
1966,FMA,1.0,roni,3,1966-03-01,1966-05-05
1966,MAM,0.6,roni,4,1966-04-01,1966-06-05
1966,AMJ,0.3,roni,5,1966-05-01,1966-07-05
1966,MJJ,0.2,roni,6,1966-06-01,1966-08-05
1966,JJA,0.3,roni,7,1966-07-01,1966-09-05
1966,JAS,0.2,roni,8,1966-08-01,1966-10-05
1966,ASO,0.0,roni,9,1966-09-01,1966-11-05
1966,SON,0.0,roni,10,1966-10-01,1966-12-05
1966,OND,-0.1,roni,11,1966-11-01,1967-01-05
1966,NDJ,-0.2,roni,12,1966-12-01,1967-02-05
1967,DJF,-0.3,roni,1,1967-01-01,1967-03-05
1967,JFM,-0.2,roni,2,1967-02-01,1967-04-05
1967,FMA,-0.3,roni,3,1967-03-01,1967-05-05
1967,MAM,-0.3,roni,4,1967-04-01,1967-06-05
1967,AMJ,-0.1,roni,5,1967-05-01,1967-07-05
1967,MJJ,0.2,roni,6,1967-06-01,1967-08-05
1967,JJA,0.2,roni,7,1967-07-01,1967-09-05
1967,JAS,0.0,roni,8,1967-08-01,1967-10-05
1967,ASO,-0.1,roni,9,1967-09-01,1967-11-05
1967,SON,-0.1,roni,10,1967-10-01,1967-12-05
1967,OND,0.0,roni,11,1967-11-01,1968-01-05
1967,NDJ,0.0,roni,12,1967-12-01,1968-02-05
1968,DJF,-0.2,roni,1,1968-01-01,1968-03-05
1968,JFM,-0.4,roni,2,1968-02-01,1968-04-05
1968,FMA,-0.3,roni,3,1968-03-01,1968-05-05
1968,MAM,-0.3,roni,4,1968-04-01,1968-06-05
1968,AMJ,0.1,roni,5,1968-05-01,1968-07-05
1968,MJJ,0.3,roni,6,1968-06-01,1968-08-05
1968,JJA,0.6,roni,7,1968-07-01,1968-09-05
1968,JAS,0.5,roni,8,1968-08-01,1968-10-05
1968,ASO,0.4,roni,9,1968-09-01,1968-11-05
1968,SON,0.6,roni,10,1968-10-01,1968-12-05
1968,OND,0.7,roni,11,1968-11-01,1969-01-05
1968,NDJ,1.0,roni,12,1968-12-01,1969-02-05
1969,DJF,1.1,roni,1,1969-01-01,1969-03-05
1969,JFM,1.0,roni,2,1969-02-01,1969-04-05
1969,FMA,0.7,roni,3,1969-03-01,1969-05-05
1969,MAM,0.4,roni,4,1969-04-01,1969-06-05
1969,AMJ,0.4,roni,5,1969-05-01,1969-07-05
1969,MJJ,0.3,roni,6,1969-06-01,1969-08-05
1969,JJA,0.3,roni,7,1969-07-01,1969-09-05
1969,JAS,0.3,roni,8,1969-08-01,1969-10-05
1969,ASO,0.6,roni,9,1969-09-01,1969-11-05
1969,SON,0.7,roni,10,1969-10-01,1969-12-05
1969,OND,0.8,roni,11,1969-11-01,1970-01-05
1969,NDJ,0.7,roni,12,1969-12-01,1970-02-05
1970,DJF,0.5,roni,1,1970-01-01,1970-03-05
1970,JFM,0.2,roni,2,1970-02-01,1970-04-05
1970,FMA,0.2,roni,3,1970-03-01,1970-05-05
1970,MAM,0.2,roni,4,1970-04-01,1970-06-05
1970,AMJ,0.1,roni,5,1970-05-01,1970-07-05
1970,MJJ,-0.2,roni,6,1970-06-01,1970-08-05
1970,JJA,-0.5,roni,7,1970-07-01,1970-09-05
1970,JAS,-0.6,roni,8,1970-08-01,1970-10-05
1970,ASO,-0.5,roni,9,1970-09-01,1970-11-05
1970,SON,-0.6,roni,10,1970-10-01,1970-12-05
1970,OND,-0.5,roni,11,1970-11-01,1971-01-05
1970,NDJ,-0.8,roni,12,1970-12-01,1971-02-05
1971,DJF,-0.9,roni,1,1971-01-01,1971-03-05
1971,JFM,-1.0,roni,2,1971-02-01,1971-04-05
1971,FMA,-0.8,roni,3,1971-03-01,1971-05-05
1971,MAM,-0.6,roni,4,1971-04-01,1971-06-05
1971,AMJ,-0.5,roni,5,1971-05-01,1971-07-05
1971,MJJ,-0.4,roni,6,1971-06-01,1971-08-05
1971,JJA,-0.3,roni,7,1971-07-01,1971-09-05
1971,JAS,-0.2,roni,8,1971-08-01,1971-10-05
1971,ASO,-0.3,roni,9,1971-09-01,1971-11-05
1971,SON,-0.4,roni,10,1971-10-01,1971-12-05
1971,OND,-0.4,roni,11,1971-11-01,1972-01-05
1971,NDJ,-0.4,roni,12,1971-12-01,1972-02-05
1972,DJF,-0.2,roni,1,1972-01-01,1972-03-05
1972,JFM,0.0,roni,2,1972-02-01,1972-04-05
1972,FMA,0.3,roni,3,1972-03-01,1972-05-05
1972,MAM,0.5,roni,4,1972-04-01,1972-06-05
1972,AMJ,0.7,roni,5,1972-05-01,1972-07-05
1972,MJJ,0.9,roni,6,1972-06-01,1972-08-05
1972,JJA,1.1,roni,7,1972-07-01,1972-09-05
1972,JAS,1.4,roni,8,1972-08-01,1972-10-05
1972,ASO,1.6,roni,9,1972-09-01,1972-11-05
1972,SON,1.8,roni,10,1972-10-01,1972-12-05
1972,OND,2.0,roni,11,1972-11-01,1973-01-05
1972,NDJ,1.9,roni,12,1972-12-01,1973-02-05
1973,DJF,1.7,roni,1,1973-01-01,1973-03-05
1973,JFM,1.3,roni,2,1973-02-01,1973-04-05
1973,FMA,0.6,roni,3,1973-03-01,1973-05-05
1973,MAM,-0.2,roni,4,1973-04-01,1973-06-05
1973,AMJ,-0.7,roni,5,1973-05-01,1973-07-05
1973,MJJ,-1.0,roni,6,1973-06-01,1973-08-05
1973,JJA,-1.1,roni,7,1973-07-01,1973-09-05
1973,JAS,-1.2,roni,8,1973-08-01,1973-10-05
1973,ASO,-1.3,roni,9,1973-09-01,1973-11-05
1973,SON,-1.6,roni,10,1973-10-01,1973-12-05
1973,OND,-1.9,roni,11,1973-11-01,1974-01-05
1973,NDJ,-1.9,roni,12,1973-12-01,1974-02-05
1974,DJF,-1.6,roni,1,1974-01-01,1974-03-05
1974,JFM,-1.3,roni,2,1974-02-01,1974-04-05
1974,FMA,-1.0,roni,3,1974-03-01,1974-05-05
1974,MAM,-0.8,roni,4,1974-04-01,1974-06-05
1974,AMJ,-0.6,roni,5,1974-05-01,1974-07-05
1974,MJJ,-0.5,roni,6,1974-06-01,1974-08-05
1974,JJA,-0.3,roni,7,1974-07-01,1974-09-05
1974,JAS,-0.2,roni,8,1974-08-01,1974-10-05
1974,ASO,-0.2,roni,9,1974-09-01,1974-11-05
1974,SON,-0.4,roni,10,1974-10-01,1974-12-05
1974,OND,-0.6,roni,11,1974-11-01,1975-01-05
1974,NDJ,-0.3,roni,12,1974-12-01,1975-02-05
1975,DJF,-0.1,roni,1,1975-01-01,1975-03-05
1975,JFM,-0.1,roni,2,1975-02-01,1975-04-05
