country,year,revenue_loss_2025usd_mean,revenue_loss_2025usd_p05,revenue_loss_2025usd_median,revenue_loss_2025usd_p95,agriculture_loss_2025usd_mean,agriculture_loss_2025usd_p05,agriculture_loss_2025usd_median,agriculture_loss_2025usd_p95,event_revenue_2025usd_mean,event_revenue_2025usd_p05,event_revenue_2025usd_median,event_revenue_2025usd_p95,neutral_revenue_2025usd_mean,neutral_revenue_2025usd_p05,neutral_revenue_2025usd_median,neutral_revenue_2025usd_p95,p_revenue_loss,p_loss_above_1pct_revenue,revenue_loss_var95_2025usd,revenue_loss_es95_2025usd,revenue_loss_pct_neutral_mean
VUT,2026,129491.39614088336,-4458184.314923337,65060.75071030855,4827387.705101736,6316642.101123961,-3599766.5939881084,5611156.526525468,18838869.376815088,441835632.1317042,347301293.1459804,439356356.3449017,521565944.73333174,441965123.52784514,348005419.7396327,439528947.82494307,521792166.6595504,0.535,0.058,4827387.705101736,7701399.8631877545,0.03039829686364464
WSM,2026,216177.63914629832,-744789.1679510742,68350.27553668618,1566542.9298503543,1313641.388323603,-1153479.2788273685,1195273.5012264773,4189537.8821741682,424315635.1693785,356265126.33898157,422532889.2864873,497092158.72749895,424531812.8085248,356481076.2929374,422718711.58553755,497129864.03770477,0.6122,0.0043,1566542.9298503543,2605637.651712671,0.05066657603811333
AUS,2027,95811806.56360917,-827225483.5537719,27847132.97479248,1215950565.3498893,1096397548.4852722,-1243662255.8102965,1004837904.3956337,3792743019.784874,701647251480.5856,648478291941.5095,704160000501.2334,746988779013.6876,701743063287.1493,648418144645.4072,704194881973.6501,747226059500.6887,0.5586,0.0001,1215950565.3498893,1893337829.0640743,0.013477721466442062
FJI,2027,1085474.6141345068,-8806146.79343772,379899.54120254517,12692288.599200271,17253764.539621625,-5555290.851443997,15251396.392968059,46756291.382374905,1879777013.1109483,1618546389.090331,1864068824.7488494,2260596824.1226377,1880862487.7250829,1619211087.8351834,1865468400.2727575,2262725048.3763247,0.5645,0.0215,12692288.599200271,20337048.08192004,0.05690744557963244
IDN,2027,67490065.81869538,-788549306.7188888,15603319.591537476,1030666734.9309402,3075244976.8952937,-1999088434.1247983,2919748344.792465,8790418605.03645,215136136860.53885,178511469969.17114,214467741723.11844,260287784359.01624,215203626926.35754,178490045738.53726,214524994240.25653,260070519551.3151,0.5325,0.0081,1030666734.9309402,1663712446.1544058,0.031470846030288754
MYS,2027,29891762.458207134,-264393963.7352745,9007532.25112915,354700970.7109824,507310801.2311967,-777886044.3336443,490907767.1293869,1844666442.8748243,100892306853.24925,87168148194.43922,99899764150.42924,118467833890.48337,100922198615.70747,87214954717.06937,99900050199.68385,118467612605.82976,0.5645,0.0037,354700970.7109824,585486510.7257212,0.02998811554118223
PHL,2027,128299911.21003586,-312486040.40852356,56771088.578689575,790466003.1149784,1187193433.8242397,-323624668.4854667,1100064424.2996979,3017258437.588702,110419418305.4832,99703531287.7162,110574023613.15338,120505687756.12001,110547718216.69322,99788612368.89923,110728246564.2049,120614829148.70107,0.6511,0.0184,790466003.1149784,1165919759.7836185,0.11645708337533525
PNG,2027,6250345.017239304,-53847369.84280433,2037525.3961138725,78357971.87650274,161832268.75001416,-100423473.60797839,143916295.35531664,488060991.8612359,5931389562.44428,4696200050.634506,5892286038.955109,7237609786.35653,5937639907.461518,4696891783.255972,5903105904.987673,7244164587.280204,0.563,0.0773,78357971.87650274,125114519.07071981,0.10449553642928858
SLB,2027,-84848.17063735785,-10881620.759042567,-30037.052459657192,10545705.959045688,1460329.9217375275,-28258776.393842507,2336346.8601465225,27383725.723181263,709057190.0340664,516930404.92785066,700244478.9966232,924640614.7952894,708972341.8634291,517317836.56125665,700485511.7248971,924655627.1607783,0.4921,0.0882,10545705.959045688,17690777.485655207,-0.013513896992530347
THA,2027,102433010.94400913,-406572470.4303764,30380597.937057495,813573155.2754694,1113278533.243781,-1046339610.2960578,1018162882.4702225,3560695256.1909328,125793483575.614,114112038144.27882,125751131429.29959,136995161656.28477,125895916586.55803,114238699337.75012,125839865846.53094,137064181537.48244,0.5869,0.0169,813573155.2754694,1244779652.631942,0.08195685615230383
TON,2027,172655.61395035204,-1955034.0137829422,40734.238275408745,2621481.744174106,1250181.3355398162,-3388087.1446197894,1254657.2641366795,5704306.96870673,388180658.4705104,326366454.5866809,384747238.81075794,458905446.9644255,388353314.08446074,326766854.47238016,384830042.64099073,458928394.65139794,0.5441,0.0217,2621481.744174106,4218541.544411731,0.043416806941836514
VNM,2027,28903988.27674032,-325941328.4856758,9547377.638572693,433449932.01605934,346295600.4988148,-1530190571.5862527,401576061.37862015,2015032998.8482463,112890850486.69627,98428368367.71365,112881383637.19366,127217036037.5624,112919754474.97305,98471366189.85364,112920017570.03305,127284252912.41827,0.5564,0.005,433449932.01605934,726953360.6176267,0.025917607865670513
VUT,2027,16520.89150110221,-5739218.886900306,-5920.450978696346,5721066.313412012,5644689.345510631,-10176862.215586822,5012516.537943572,23034293.57007276,465530277.21181446,360079739.9737336,459482271.4866145,623874156.3207468,465546798.10331565,360342916.07292026,459259269.667863,624354426.9073268,0.4977,0.0715,5721066.313412012,9780843.339605154,0.003821420939140873
WSM,2027,175913.69175840504,-1067686.8576778262,39838.03599059582,1718446.9996981511,1464328.38717,-2461453.1952098054,1310033.547379613,5879964.355330095,432403887.3886917,347579612.022938,431565511.1207549,515219358.43576443,432579801.0804502,347848577.0725964,431612154.2815313,515485119.4867011,0.5662,0.0062,1718446.9996981511,3000566.563036825,0.04050470696380687
AUS,2026–2027,140302552.7982158,-1255775196.0233276,40410404.57110596,1811296044.7628598,1580053827.317136,-2252595616.8579073,1533216356.8123856,5594264687.459063,,,,,,,,,0.5594,,1811296044.7628598,2812397414.6490836,0.009991558715201488
FJI,2026–2027,1833572.9725078742,-13866665.392286014,696121.6622407436,20966100.785681617,28815410.365558643,-9435989.87598841,25588311.359814793,77859793.09546772,,,,,,,,,0.571,,20966100.785681617,33223701.014473602,0.04906383639972502
IDN,2026–2027,174630817.86148566,-1447130740.6717286,68657001.00952148,2018585379.2458923,6123481127.535292,-2302483292.484249,5844718937.53241,15678705285.040724,,,,,,,,,0.5769,,2018585379.2458923,3131727328.541392,0.04163153422292494
MYS,2026–2027,44582811.03566598,-409245603.2861023,13615329.327575684,552159279.65312,746610093.0751461,-1343478485.5128922,739665219.3038006,2887463912.927431,,,,,,,,,0.5624,,552159279.65312,908410024.9596157,0.02270924277991546
PHL,2026–2027,184759137.8675647,-456501565.76078033,78558712.32344818,1136356758.9966872,1722946683.2838154,-658575209.607207,1586032771.6485672,4612999957.411204,,,,,,,,,0.6467,,1136356758.9966872,1713022043.9793954,0.08655028151404359
PNG,2026–2027,11919950.242746359,-89286226.57003634,4648083.838661194,133233224.81700183,285185852.2060983,-141500057.11279964,253109643.32166338,816685582.4769095,,,,,,,,,0.5791,,133233224.81700183,213369056.06451452,0.10109026684268395
SLB,2026–2027,-85545.39794000813,-17235341.98728317,6155.6957122683525,16627098.343801517,4108463.0207559904,-42990154.23304084,5403711.921377271,45624135.45293817,,,,,,,,,0.5012,,16627098.343801517,27528306.435978863,-0.0070389581522889095
THA,2026–2027,217767890.7460914,-669445305.8160201,82708408.48316956,1477164561.0033536,2325751598.086383,-1036589240.9601394,2102662439.042614,6383514411.481296,,,,,,,,,0.6227,,1477164561.0033536,2224172158.1182046,0.08796767078996982
TON,2026–2027,259598.58553361648,-3240988.309678468,61818.4645639658,4276810.095784778,1898722.562825288,-5876055.538859635,1996681.6658502445,9179342.440956391,,,,,,,,,0.543,,4276810.095784778,6737959.011764447,0.033577738498919193
VNM,2026–2027,41272006.41300081,-518263949.44082636,11878019.58582306,685088535.1740168,473166117.6474874,-2522508417.784939,561745496.6792526,3169483757.245395,,,,,,,,,0.5522,,685088535.1740168,1152863139.3856926,0.019101355679879167
VUT,2026–2027,146012.28764198555,-9843246.927934645,60915.375639766455,10107560.608585315,11961331.446634592,-11894436.285903703,10554945.699822456,41022516.544975854,,,,,,,,,0.5192,,10107560.608585315,16749616.929130822,0.017091142907319133
WSM,2026–2027,392091.33090470335,-1666520.898720026,107781.99460029602,3177285.6521644844,2777969.7754936027,-3316692.2624713206,2475580.1763952933,9833139.153283406,,,,,,,,,0.5916,,3177285.6521644844,5386772.209158619,0.04554274992454127
