period,scope,revenue_loss_2025usd_mean,revenue_loss_2025usd_p05,revenue_loss_2025usd_median,revenue_loss_2025usd_p95,agriculture_loss_2025usd_mean,agriculture_loss_2025usd_p05,agriculture_loss_2025usd_median,agriculture_loss_2025usd_p95,p_revenue_loss,p_loss_above_1pct_revenue,var95_2025usd,es95_2025usd,variant
2026,excluding_Australia,312018195.3320716,-977656344.7939156,184969672.63907564,1953512885.6019084,5308956526.502192,-615431227.8627448,5154772395.104387,11964602564.465685,0.6368,0.0,1953512885.6019084,2781410826.9219666,independent_economic_shocks
2027,all_modeled,460161981.6087394,-1759069476.9886646,255482351.6267778,3240284944.7688804,7509160553.678895,-1967468921.768113,7205380159.107504,17862968305.26804,0.6155,0.0,3240284944.7688804,4607458478.577914,independent_economic_shocks
2027,Pacific_islands,7635750.673273749,-61470165.54193082,3476649.9362486005,89230182.56314102,189006717.5903716,-97969009.0908726,170744162.99768683,540474280.4164466,0.57,0.0408,89230182.56314102,140972563.21443224,independent_economic_shocks
2027,excluding_Australia,365267450.9525302,-1308943561.8029563,205079204.3814124,2480810971.2369127,6425474892.562871,-1916281710.1008484,6145940945.031195,15682977095.79774,0.6206,0.001,2480810971.2369127,3555639956.2543736,independent_economic_shocks
2026–2027,all_modeled,816466862.4754667,-2891565743.968776,469397265.660824,5448574382.659357,13297001705.490112,-2208568908.7311816,12786650063.77479,30590268571.628357,0.6258,0.0,5448574382.659357,7752505712.36559,independent_economic_shocks
2026–2027,Pacific_islands,14491677.936876288,-103382384.93764676,7042780.192339182,154846789.08975306,334883519.2387991,-135507834.83129197,302538004.48773825,917247497.3583326,0.5807,0.0308,154846789.08975306,240557920.57251644,independent_economic_shocks
2026–2027,excluding_Australia,677285646.2846018,-2177895180.628397,395416187.45433766,4359263669.715268,11734431419.065062,-1889089309.569691,11251972674.518097,27243382646.388947,0.6323,0.0002,4359263669.715268,6203149977.073023,independent_economic_shocks
2026,all_modeled,347556813.89066446,-1178942466.6820238,198079148.55935344,2302341384.771531,5620529802.720779,-1041056998.2578958,5422610459.296818,13069203197.36757,0.6302,0.0,2302341384.771531,3271449907.192144,onset_june
2026,Pacific_islands,6709127.937494494,-42127701.73435782,3284461.102149785,64669131.68175699,142631551.15154564,-51205116.56610511,128616657.61054271,382348258.61495495,0.5892,0.0198,64669131.68175699,102416416.59211808,onset_june
2026,excluding_Australia,304196514.3229128,-960318576.3559388,175409149.6830418,1931648296.583803,5149661977.227965,-755625099.1931037,4967212464.975697,11768770883.224382,0.6349,0.0,1931648296.583803,2754337727.4410505,onset_june
2027,all_modeled,453278795.525642,-1716847072.4018006,251486834.0012914,3195636050.054646,7386952450.62685,-1952722884.248148,7083574319.813076,17772485801.582134,0.6171,0.0,3195636050.054646,4549987228.5920725,onset_june
2027,Pacific_islands,7536475.240404933,-61182489.23994753,3493956.273760796,88438900.62197407,186556621.24127117,-97289576.49326448,168695389.140691,536568079.8873028,0.5703,0.0408,88438900.62197407,138855430.12227616,onset_june
2027,excluding_Australia,359672799.98432654,-1272130944.0347848,203781780.8937692,2449615991.1239524,6316767734.575911,-1887084329.7488868,6056167187.099703,15482190878.110529,0.62,0.0011,2449615991.1239524,3509942675.68658,onset_june
2026–2027,all_modeled,800835609.4163065,-2805382997.054216,460740556.4598284,5403354935.59366,13007482253.347628,-2296413786.4388604,12456562629.94424,30545687270.2543,0.625,0.0,5403354935.59366,7657049097.460433,onset_june
