country,crop,year,yield_effect_pct_mean,yield_effect_pct_p05,yield_effect_pct_median,yield_effect_pct_p95,p_yield_loss,anchor_year,anchor_production_t,area_response_estimated,price_response_estimated,production_effect_pct_mean,production_effect_pct_p05,production_effect_pct_median,production_effect_pct_p95,local_usd_price_effect_pct_mean,local_usd_price_effect_pct_p05,local_usd_price_effect_pct_median,local_usd_price_effect_pct_p95,gross_receipts_effect_pct_mean,gross_receipts_effect_pct_p05,gross_receipts_effect_pct_median,gross_receipts_effect_pct_p95,fixed_area_anchor_output_loss_t_mean,fixed_area_anchor_output_loss_t_p05,fixed_area_anchor_output_loss_t_median,fixed_area_anchor_output_loss_t_p95,tonnage_interpretation,scope
MYS,coffee,2026,0.36425398212777926,-4.220267232012926,0.2891481756551323,5.155910450512659,0.4543,2024,2861.29,True,False,-1.250717758631464,-12.456422939501863,-1.1581037040671578,9.550593204470225,,,,,,,,,-10.422362765223934,-147.52555012947366,-8.273367835202734,120.75408428286255,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
MYS,maize,2026,-1.676636228994742,-5.289491800994846,-1.7472282218248685,2.1875195823831564,0.8049,2024,1317.23,True,False,2.8776085367506146,-4.859143460303975,2.826769963374713,10.95100752982085,,,,,,,,,22.085155399187446,-28.81466419502567,23.015014306343716,69.67477285024438,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
MYS,palm,2026,-0.6811134603489308,-5.183795486545887,-0.6139059780583547,3.5243049601000522,0.6009,2024,100163525.0,True,False,4.975113503549338e-05,-4.869794153703,0.08376109703663623,4.594517266764865,,,,,,,,,682227.2511349665,-3530068.079786059,614909.8678089746,5192272.288115261,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
MYS,rice,2026,-2.8887813616298286,-6.7646867727136675,-2.6875235516063993,0.1649856775069248,0.9405,2024,2102960.0,True,False,-1.2588333775228282,-5.551510750772098,-1.1624178450669245,2.6367180534296475,,,,,,,,,60749.91652253065,-3469.5828036996604,56517.545280861945,142258.6569554592,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
MYS,sugar,2026,-1.419260680280668,-5.336572714617581,-1.4067511762910367,2.3977172712932333,0.7531,2024,16924.97,True,False,28.47104645233127,-6.749376949997823,21.685742875909323,86.40861402859454,,,,,,,,,240.20944435929897,-405.8129288511987,238.0922145619051,903.2133309772107,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
PHL,cocoa,2026,-0.2998799211148215,-5.004746546844901,-0.24227908456412983,4.406225937594836,0.5384,2024,10843.53,True,True,1.0006190440184854,-6.779046356951504,0.7943212909984521,9.513202801250523,-0.4352442738809595,-5.603480120666165,-0.7762897547859857,5.56062486324556,0.5750507062551367,-8.94073177155559,0.1208719065810201,11.332232229324344,32.517569210062,-477.7904314108776,26.27160521843679,542.6911932310904,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
PHL,coconut,2026,-2.359280199516919,-6.549386889837089,-2.3871074771966594,1.8378678134423865,0.8378,2024,14500416.25,True,True,-3.096357970459436,-7.468383432188821,-3.1387110696379485,1.1663898192590851,-4.868973838713042,-11.954522029755555,-4.975276052262124,2.64842582264166,-7.810288639809716,-15.912152899654037,-7.781875779332666,0.6091900609209853,342105.44943378377,-266498.4830739196,346140.5205283895,949688.3608493067,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
PHL,coffee,2026,0.04693782961979863,-4.6490470377684705,0.06904483138727255,4.585405564751279,0.4897,2024,64000.0,True,True,-0.4908145149111856,-5.428828433191298,-0.4894622236814421,4.466437691406725,-0.48481394147981527,-6.714098344231528,-0.4218220112059512,5.599819778792665,-0.9692171927180016,-8.773703352544434,-1.093005243569316,7.406938249924167,-30.040210956671125,-2934.6595614408197,-44.188692087854434,2975.3901041718204,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
PHL,maize,2026,-1.9330024326510566,-4.8601885657197,-1.953706626719894,1.102596165894146,0.8747,2024,8138177.93,True,True,-3.863708092629074,-7.17651993773262,-3.841281351522038,-0.6096927631588741,-1.5991088996435647,-7.657093271123419,-1.6532365628703636,5.271465854676432,-5.407104394349645,-11.807309825666737,-5.420867843573838,1.3533403668234478,157311.17736037137,-89731.23782982376,158996.12151266588,395530.7932117842,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
PHL,palm,2026,-0.03095632901932745,-4.567738198175236,-0.02206413801869678,4.385636431035522,0.5041,2024,521800.53,True,True,3.1432045436905183,-8.061789655400926,2.6272020372223697,16.162376008794386,-5.351555164548738,-11.479238689576587,-5.488088445406268,0.9254940024173425,-2.364036170766939,-14.555122904198848,-3.1317919275977784,12.844957506458549,161.53028889139443,-22884.274141016453,115.1307891214913,23834.48212709081,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
PHL,rice,2026,-2.2866745661387684,-5.8589860104844815,-2.189646350512926,0.8288406847709142,0.8911,2024,19087135.43,True,True,-5.01218862454697,-8.935536220576324,-4.854899657297723,-1.6230731833888923,-5.184611703355883,-10.460952375428759,-5.457615020828448,0.18808178939401854,-9.933503613009915,-16.285259498544434,-9.972587740466937,-3.752652939963457,436460.67128227174,-158201.94400116405,417940.76436045463,1118312.5946459265,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
PHL,sugar,2026,-2.003130008520074,-6.081451066445288,-1.864790465782273,1.6374842027942098,0.8208,2024,18694653.05,True,False,-2.5269896885855787,-8.20395074760347,-2.628899892490172,3.537962907063689,,,,,,,,,374478.2052332633,-306121.9904609361,348616.10768747487,1136906.1772774714,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
PNG,cocoa,2026,-0.3588785789017651,-5.008328116662928,-0.32605408858783047,4.283176572709226,0.5561,2024,45000.0,True,False,-5.181140732073912,-12.594953430530731,-5.118244728433248,2.1030859803692015,,,,,,,,,161.49536050579428,-1927.4294577191522,146.7243398645237,2253.7476524983163,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
PNG,coconut,2026,-2.2521837246797762,-6.276843710254,-2.3248027719317528,2.0084970723340567,0.8353,2024,1250137.89,True,False,-1.94669708708328,-7.147738302062568,-2.047352168551227,3.597238986144993,,,,,,,,,28155.402094635163,-25108.982920788796,29063.240319689125,78469.20151796706,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
PNG,coffee,2026,-0.10096847048079718,-4.932113387389547,-0.061786497182551685,4.611806408919274,0.5117,2024,50400.0,True,False,0.8560788662747616,-7.855886176572563,0.5100479268353583,10.724648649518029,,,,,,,,,50.88810912232178,-2324.350430095316,31.14039458000605,2485.785147244331,Equivalent at latest observed production; not a forecast of planted area or 2026/27 output,"Crop yield, not fiscal revenue; do not add to macro value-added losses"
