country,year,revenue_loss_2025usd_mean_new,revenue_loss_2025usd_p05_new,revenue_loss_2025usd_median_new,revenue_loss_2025usd_p95_new,agriculture_loss_2025usd_mean_new,agriculture_loss_2025usd_p05_new,agriculture_loss_2025usd_median_new,agriculture_loss_2025usd_p95_new,event_revenue_2025usd_mean_new,event_revenue_2025usd_p05_new,event_revenue_2025usd_median_new,event_revenue_2025usd_p95_new,neutral_revenue_2025usd_mean_new,neutral_revenue_2025usd_p05_new,neutral_revenue_2025usd_median_new,neutral_revenue_2025usd_p95_new,p_revenue_loss_new,p_loss_above_1pct_revenue_new,revenue_loss_var95_2025usd_new,revenue_loss_es95_2025usd_new,revenue_loss_pct_neutral_mean_new,revenue_loss_2025usd_mean_prior,revenue_loss_2025usd_p05_prior,revenue_loss_2025usd_median_prior,revenue_loss_2025usd_p95_prior,agriculture_loss_2025usd_mean_prior,agriculture_loss_2025usd_p05_prior,agriculture_loss_2025usd_median_prior,agriculture_loss_2025usd_p95_prior,event_revenue_2025usd_mean_prior,event_revenue_2025usd_p05_prior,event_revenue_2025usd_median_prior,event_revenue_2025usd_p95_prior,neutral_revenue_2025usd_mean_prior,neutral_revenue_2025usd_p05_prior,neutral_revenue_2025usd_median_prior,neutral_revenue_2025usd_p95_prior,p_revenue_loss_prior,p_loss_above_1pct_revenue_prior,revenue_loss_var95_2025usd_prior,revenue_loss_es95_2025usd_prior,revenue_loss_pct_neutral_mean_prior
PNG,2027,6250345.017239304,-53847369.84280433,2037525.3961138723,78357971.87650274,161832268.75001416,-100423473.6079784,143916295.35531664,488060991.8612359,5931389562.44428,4696200050.634506,5892286038.955109,7237609786.35653,5937639907.461518,4696891783.255972,5903105904.987673,7244164587.280204,0.563,0.0773,78357971.87650274,125114519.0707198,0.1044955364292885,6250345.017239304,-53847369.84280433,2037525.3961138723,78357971.87650274,161832268.75001416,-100423473.6079784,143916295.35531664,488060991.8612359,5931389562.44428,4696200050.634506,5892286038.955109,7237609786.35653,5937639907.461518,4696891783.255972,5903105904.987673,7244164587.280204,0.563,0.0773,78357971.87650274,125114519.0707198,0.1044955364292885
SLB,2027,-84848.17063735785,-10881620.759042569,-30037.052459657192,10545705.959045688,1460329.9217375277,-28258776.393842507,2336346.8601465225,27383725.723181263,709057190.0340664,516930404.92785066,700244478.9966232,924640614.7952894,708972341.8634291,517317836.5612567,700485511.7248971,924655627.1607784,0.4921,0.0882,10545705.959045688,17690777.485655207,-0.0135138969925303,-84848.17063735785,-10881620.759042569,-30037.052459657192,10545705.959045688,1460329.9217375277,-28258776.393842507,2336346.8601465225,27383725.723181263,709057190.0340664,516930404.92785066,700244478.9966232,924640614.7952894,708972341.8634291,517317836.5612567,700485511.7248971,924655627.1607784,0.4921,0.0882,10545705.959045688,17690777.485655207,-0.0135138969925303
THA,2027,102433010.94400913,-406572470.4303764,30380597.93705749,813573155.2754694,1113278533.243781,-1046339610.2960578,1018162882.4702224,3560695256.1909328,125793483575.614,114112038144.27882,125751131429.2996,136995161656.28476,125895916586.55804,114238699337.75012,125839865846.53094,137064181537.48244,0.5869,0.0169,813573155.2754694,1244779652.631942,0.0819568561523038,102433010.94400913,-406572470.4303764,30380597.93705749,813573155.2754694,1113278533.243781,-1046339610.2960578,1018162882.4702224,3560695256.1909328,125793483575.614,114112038144.27882,125751131429.2996,136995161656.28476,125895916586.55804,114238699337.75012,125839865846.53094,137064181537.48244,0.5869,0.0169,813573155.2754694,1244779652.631942,0.0819568561523038
TON,2027,172655.61395035204,-1955034.0137829424,40734.238275408745,2621481.744174106,1250181.3355398162,-3388087.144619789,1254657.2641366797,5704306.96870673,388180658.4705104,326366454.5866809,384747238.81075794,458905446.9644255,388353314.0844608,326766854.47238016,384830042.64099073,458928394.65139794,0.5441,0.0217,2621481.744174106,4218541.544411731,0.0434168069418365,172655.61395035204,-1955034.0137829424,40734.238275408745,2621481.744174106,1250181.3355398162,-3388087.144619789,1254657.2641366797,5704306.96870673,388180658.4705104,326366454.5866809,384747238.81075794,458905446.9644255,388353314.0844608,326766854.47238016,384830042.64099073,458928394.65139794,0.5441,0.0217,2621481.744174106,4218541.544411731,0.0434168069418365
VNM,2027,28903988.27674032,-325941328.4856758,9547377.638572693,433449932.01605934,346295600.4988148,-1530190571.5862527,401576061.37862015,2015032998.8482463,112890850486.69627,98428368367.71364,112881383637.19366,127217036037.5624,112919754474.97304,98471366189.85364,112920017570.03304,127284252912.41827,0.5564,0.005,433449932.01605934,726953360.6176267,0.0259176078656705,28903988.27674032,-325941328.4856758,9547377.638572693,433449932.01605934,346295600.4988148,-1530190571.5862527,401576061.37862015,2015032998.8482463,112890850486.69627,98428368367.71364,112881383637.19366,127217036037.5624,112919754474.97304,98471366189.85364,112920017570.03304,127284252912.41827,0.5564,0.005,433449932.01605934,726953360.6176267,0.0259176078656705
VUT,2027,16520.89150110221,-5739218.886900306,-5920.450978696346,5721066.313412012,5644689.345510631,-10176862.215586822,5012516.537943572,23034293.57007276,465530277.21181446,360079739.9737336,459482271.4866145,623874156.3207468,465546798.10331565,360342916.07292026,459259269.667863,624354426.9073268,0.4977,0.0715,5721066.313412012,9780843.339605154,0.0038214209391408,16520.89150110221,-5739218.886900306,-5920.450978696346,5721066.313412012,5644689.345510631,-10176862.215586822,5012516.537943572,23034293.57007276,465530277.21181446,360079739.9737336,459482271.4866145,623874156.3207468,465546798.10331565,360342916.07292026,459259269.667863,624354426.9073268,0.4977,0.0715,5721066.313412012,9780843.339605154,0.0038214209391408
WSM,2027,175913.69175840504,-1067686.8576778262,39838.03599059582,1718446.9996981511,1464328.38717,-2461453.1952098054,1310033.547379613,5879964.355330095,432403887.3886917,347579612.022938,431565511.1207549,515219358.4357644,432579801.0804502,347848577.0725964,431612154.2815313,515485119.4867011,0.5662,0.0062,1718446.9996981511,3000566.563036825,0.0405047069638068,175913.69175840504,-1067686.8576778262,39838.03599059582,1718446.9996981511,1464328.38717,-2461453.1952098054,1310033.547379613,5879964.355330095,432403887.3886917,347579612.022938,431565511.1207549,515219358.4357644,432579801.0804502,347848577.0725964,431612154.2815313,515485119.4867011,0.5662,0.0062,1718446.9996981511,3000566.563036825,0.0405047069638068
AUS,2026–2027,140302552.7982158,-1255775196.0233276,40410404.57110596,1811296044.76286,1580053827.317136,-2252595616.857908,1533216356.8123856,5594264687.459063,,,,,,,,,0.5594,,1811296044.76286,2812397414.649084,0.0099915587152014,140302552.7982158,-1255775196.0233276,40410404.57110596,1811296044.76286,1580053827.317136,-2252595616.857908,1533216356.8123856,5594264687.459063,,,,,,,,,0.5594,,1811296044.76286,2812397414.649084,0.0099915587152014
FJI,2026–2027,1833572.9725078745,-13866665.392286014,696121.6622407436,20966100.785681617,28815410.365558643,-9435989.87598841,25588311.359814797,77859793.09546772,,,,,,,,,0.571,,20966100.785681617,33223701.0144736,0.049063836399725,1833572.9725078745,-13866665.392286014,696121.6622407436,20966100.785681617,28815410.365558643,-9435989.87598841,25588311.359814797,77859793.09546772,,,,,,,,,0.571,,20966100.785681617,33223701.0144736,0.049063836399725
IDN,2026–2027,174630817.86148566,-1447130740.6717286,68657001.00952148,2018585379.2458923,6123481127.535292,-2302483292.484249,5844718937.53241,15678705285.040724,,,,,,,,,0.5769,,2018585379.2458923,3131727328.541392,0.0416315342229249,174630817.86148566,-1447130740.6717286,68657001.00952148,2018585379.2458923,6123481127.535292,-2302483292.484249,5844718937.53241,15678705285.040724,,,,,,,,,0.5769,,2018585379.2458923,3131727328.541392,0.0416315342229249
MYS,2026–2027,44582811.03566598,-409245603.2861023,13615329.327575684,552159279.65312,746610093.0751461,-1343478485.5128922,739665219.3038006,2887463912.927431,,,,,,,,,0.5624,,552159279.65312,908410024.9596156,0.0227092427799154,44582811.03566598,-409245603.2861023,13615329.327575684,552159279.65312,746610093.0751461,-1343478485.5128922,739665219.3038006,2887463912.927431,,,,,,,,,0.5624,,552159279.65312,908410024.9596156,0.0227092427799154
PHL,2026–2027,184759137.8675647,-456501565.76078033,78558712.32344818,1136356758.9966872,1722946683.2838154,-658575209.607207,1586032771.6485672,4612999957.411204,,,,,,,,,0.6467,,1136356758.9966872,1713022043.9793954,0.0865502815140435,184759137.8675647,-456501565.76078033,78558712.32344818,1136356758.9966872,1722946683.2838154,-658575209.607207,1586032771.6485672,4612999957.411204,,,,,,,,,0.6467,,1136356758.9966872,1713022043.9793954,0.0865502815140435
PNG,2026–2027,11919950.24274636,-89286226.57003634,4648083.838661194,133233224.81700183,285185852.2060983,-141500057.11279964,253109643.32166335,816685582.4769095,,,,,,,,,0.5791,,133233224.81700183,213369056.0645145,0.1010902668426839,11919950.24274636,-89286226.57003634,4648083.838661194,133233224.81700183,285185852.2060983,-141500057.11279964,253109643.32166335,816685582.4769095,,,,,,,,,0.5791,,133233224.81700183,213369056.0645145,0.1010902668426839
SLB,2026–2027,-85545.39794000813,-17235341.98728317,6155.6957122683525,16627098.343801515,4108463.0207559904,-42990154.23304084,5403711.921377271,45624135.45293817,,,,,,,,,0.5012,,16627098.343801515,27528306.435978863,-0.0070389581522889,-85545.39794000813,-17235341.98728317,6155.6957122683525,16627098.343801515,4108463.0207559904,-42990154.23304084,5403711.921377271,45624135.45293817,,,,,,,,,0.5012,,16627098.343801515,27528306.435978863,-0.0070389581522889
THA,2026–2027,217767890.7460914,-669445305.8160201,82708408.48316956,1477164561.0033536,2325751598.086383,-1036589240.9601394,2102662439.042614,6383514411.481296,,,,,,,,,0.6227,,1477164561.0033536,2224172158.1182046,0.0879676707899698,217767890.7460914,-669445305.8160201,82708408.48316956,1477164561.0033536,2325751598.086383,-1036589240.9601394,2102662439.042614,6383514411.481296,,,,,,,,,0.6227,,1477164561.0033536,2224172158.1182046,0.0879676707899698
TON,2026–2027,259598.58553361648,-3240988.309678468,61818.4645639658,4276810.095784778,1898722.562825288,-5876055.538859635,1996681.6658502445,9179342.440956391,,,,,,,,,0.543,,4276810.095784778,6737959.011764447,0.0335777384989191,259598.58553361648,-3240988.309678468,61818.4645639658,4276810.095784778,1898722.562825288,-5876055.538859635,1996681.6658502445,9179342.440956391,,,,,,,,,0.543,,4276810.095784778,6737959.011764447,0.0335777384989191
VNM,2026–2027,41272006.41300081,-518263949.4408264,11878019.58582306,685088535.1740168,473166117.6474874,-2522508417.784939,561745496.6792526,3169483757.245395,,,,,,,,,0.5522,,685088535.1740168,1152863139.3856926,0.0191013556798791,41272006.41300081,-518263949.4408264,11878019.58582306,685088535.1740168,473166117.6474874,-2522508417.784939,561745496.6792526,3169483757.245395,,,,,,,,,0.5522,,685088535.1740168,1152863139.3856926,0.0191013556798791
VUT,2026–2027,146012.28764198555,-9843246.927934645,60915.375639766455,10107560.608585317,11961331.446634592,-11894436.285903703,10554945.699822456,41022516.544975854,,,,,,,,,0.5192,,10107560.608585317,16749616.929130822,0.0170911429073191,146012.28764198555,-9843246.927934645,60915.375639766455,10107560.608585317,11961331.446634592,-11894436.285903703,10554945.699822456,41022516.544975854,,,,,,,,,0.5192,,10107560.608585317,16749616.929130822,0.0170911429073191
WSM,2026–2027,392091.33090470335,-1666520.898720026,107781.99460029602,3177285.6521644844,2777969.7754936027,-3316692.2624713206,2475580.1763952933,9833139.153283406,,,,,,,,,0.5916,,3177285.6521644844,5386772.209158619,0.0455427499245412,392091.33090470335,-1666520.898720026,107781.99460029602,3177285.6521644844,2777969.7754936027,-3316692.2624713206,2475580.1763952933,9833139.153283406,,,,,,,,,0.5916,,3177285.6521644844,5386772.209158619,0.0455427499245412
