simulation,scenario,country,basis,loss_usd
145,super_stress,PORTFOLIO,climate_increment,509694361.0738954
146,super_stress,PORTFOLIO,climate_increment,481376164.47126055
147,super_stress,PORTFOLIO,climate_increment,140563644.47287712
148,super_stress,PORTFOLIO,climate_increment,263814528.7697333
149,super_stress,PORTFOLIO,climate_increment,64174598.451431885
150,super_stress,PORTFOLIO,climate_increment,66067449.1510487
151,super_stress,PORTFOLIO,climate_increment,293561293.9866812
152,super_stress,PORTFOLIO,climate_increment,311501586.75301534
153,super_stress,PORTFOLIO,climate_increment,633241402.0326974
154,super_stress,PORTFOLIO,climate_increment,671414455.4670439
155,super_stress,PORTFOLIO,climate_increment,825618542.0091364
156,super_stress,PORTFOLIO,climate_increment,746148603.8512483
157,super_stress,PORTFOLIO,climate_increment,791548585.1958103
158,super_stress,PORTFOLIO,climate_increment,782698192.6983688
159,super_stress,PORTFOLIO,climate_increment,370465839.315669
160,super_stress,PORTFOLIO,climate_increment,312420938.8047635
161,super_stress,PORTFOLIO,climate_increment,304399262.4816648
162,super_stress,PORTFOLIO,climate_increment,479637562.12385684
163,super_stress,PORTFOLIO,climate_increment,439784169.1138212
164,super_stress,PORTFOLIO,climate_increment,447056420.5270536
165,super_stress,PORTFOLIO,climate_increment,564060953.4439847
166,super_stress,PORTFOLIO,climate_increment,201315341.32372728
167,super_stress,PORTFOLIO,climate_increment,210812186.7793712
168,super_stress,PORTFOLIO,climate_increment,-172880131.44477573
169,super_stress,PORTFOLIO,climate_increment,692086895.6348588
170,super_stress,PORTFOLIO,climate_increment,458764380.29829824
171,super_stress,PORTFOLIO,climate_increment,361920006.194792
172,super_stress,PORTFOLIO,climate_increment,242695312.7236424
173,super_stress,PORTFOLIO,climate_increment,349451012.91104174
174,super_stress,PORTFOLIO,climate_increment,253663453.89321074
175,super_stress,PORTFOLIO,climate_increment,431648316.4267143
176,super_stress,PORTFOLIO,climate_increment,64707511.38114011
177,super_stress,PORTFOLIO,climate_increment,97410962.60138832
178,super_stress,PORTFOLIO,climate_increment,274804951.52217317
179,super_stress,PORTFOLIO,climate_increment,73578269.86008248
180,super_stress,PORTFOLIO,climate_increment,770142695.5379299
181,super_stress,PORTFOLIO,climate_increment,399920916.9301236
182,super_stress,PORTFOLIO,climate_increment,282063479.8049285
183,super_stress,PORTFOLIO,climate_increment,818106359.7707872
184,super_stress,PORTFOLIO,climate_increment,414648591.0315566
185,super_stress,PORTFOLIO,climate_increment,395242269.09960604
186,super_stress,PORTFOLIO,climate_increment,339108093.1502673
187,super_stress,PORTFOLIO,climate_increment,647677398.7070765
188,super_stress,PORTFOLIO,climate_increment,768353736.1372792
189,super_stress,PORTFOLIO,climate_increment,405638197.5619661
190,super_stress,PORTFOLIO,climate_increment,689738530.5565914
191,super_stress,PORTFOLIO,climate_increment,356599913.2912175
192,super_stress,PORTFOLIO,climate_increment,630375722.1588633
193,super_stress,PORTFOLIO,climate_increment,708518886.5122333
194,super_stress,PORTFOLIO,climate_increment,1139853196.487975
195,super_stress,PORTFOLIO,climate_increment,878581659.0242683
196,super_stress,PORTFOLIO,climate_increment,639174270.79323
197,super_stress,PORTFOLIO,climate_increment,614993311.505182
198,super_stress,PORTFOLIO,climate_increment,746068204.4778253
199,super_stress,PORTFOLIO,climate_increment,393560048.7715411
200,super_stress,PORTFOLIO,climate_increment,1024985365.7306209
201,super_stress,PORTFOLIO,climate_increment,331273997.80903864
202,super_stress,PORTFOLIO,climate_increment,398645160.6016545
203,super_stress,PORTFOLIO,climate_increment,-64666141.95681704
204,super_stress,PORTFOLIO,climate_increment,770474287.4866862
205,super_stress,PORTFOLIO,climate_increment,1061244334.8032556
206,super_stress,PORTFOLIO,climate_increment,742047485.933781
207,super_stress,PORTFOLIO,climate_increment,672940263.3106201
208,super_stress,PORTFOLIO,climate_increment,266300357.4044797
209,super_stress,PORTFOLIO,climate_increment,417831746.7268982
210,super_stress,PORTFOLIO,climate_increment,884670067.1178855
211,super_stress,PORTFOLIO,climate_increment,560378579.17138
212,super_stress,PORTFOLIO,climate_increment,512265984.2187092
213,super_stress,PORTFOLIO,climate_increment,146549805.90169525
214,super_stress,PORTFOLIO,climate_increment,437212179.7741243
