scenario,series,mean_increment_usd,portfolio_tail_contribution_usd
current_statistical_outlook,THA:sugar,-246400.00741841353,4498627.010361211
current_statistical_outlook,TON:coconut,-1018.2988565234441,4019.8833814523473
current_statistical_outlook,VNM:coconut,1319100.3716059201,1739462.2732076703
current_statistical_outlook,VNM:coffee,955839.8501564198,3788932.1250721323
current_statistical_outlook,VNM:maize,2672390.0911791124,4221516.299971247
current_statistical_outlook,VNM:rice,14767088.45853827,33247411.27614263
current_statistical_outlook,VNM:sugar,-1460577.638157446,-1669418.28320581
current_statistical_outlook,VUT:cocoa,-28834.623374517487,-35460.936041737485
current_statistical_outlook,VUT:coconut,122497.99919189756,148482.1530836476
current_statistical_outlook,VUT:coffee,-107.81644574941635,-121.48385553034095
current_statistical_outlook,VUT:maize,2169.050857405725,2189.695108806757
current_statistical_outlook,WSM:coconut,30839.117611824728,53921.81781839892
