commodity,year,price,n,growth,warm,cold,extreme,peak,warm_lag1,warm_lag2,phase
Coconut oil,1979,984.5,12,0.3653340581772575,0.2916666666666667,0.0,0.0,0.6,0.20833333333333334,0.6833333333333332,Neutral/mixed
Coconut oil,1980,673.8333333333334,12,-0.3791510976664645,0.20833333333333334,0.03333333333333333,0.0,0.7,0.2916666666666667,0.20833333333333334,Neutral/mixed
Coconut oil,1981,569.9166666666666,12,-0.16749264910261985,0.0,0.18333333333333335,0.0,0.0,0.20833333333333334,0.2916666666666667,Neutral/mixed
Coconut oil,1982,464.4166666666667,12,-0.20470801352855972,1.0583333333333333,0.0,0.18333333333333335,2.4,0.0,0.20833333333333334,El Nino
Coconut oil,1983,729.875,12,0.4520911488221655,0.75,0.31666666666666665,0.15,2.4,1.0583333333333333,0.0,El Nino
Coconut oil,1984,1154.5833333333333,12,0.45862152090537656,0.0,0.5416666666666666,0.0,-0.2,0.75,1.0583333333333333,La Nina
Coconut oil,1985,590.1666666666666,12,-0.6710898246252297,0.0,0.4583333333333333,0.0,-0.1,0.0,0.75,Neutral/mixed
Coconut oil,1986,296.5,12,-0.6883577644460681,0.44166666666666665,0.08333333333333333,0.0,1.4,0.0,0.0,Neutral/mixed
Coconut oil,1987,442.25,12,0.39982811460211387,1.1083333333333334,0.0,0.0,1.5,0.44166666666666665,0.0,El Nino
Coconut oil,1988,564.8333333333334,12,0.24465536933910226,0.049999999999999996,1.2,0.0,0.5,1.1083333333333334,0.44166666666666665,La Nina
Coconut oil,1989,516.8333333333334,12,-0.0888102525066028,0.008333333333333333,0.6166666666666667,0.0,0.1,0.049999999999999996,1.1083333333333334,La Nina
Coconut oil,1990,336.5,12,-0.42912230078761127,0.2833333333333333,0.0,0.0,0.4,0.008333333333333333,0.049999999999999996,Neutral/mixed
Coconut oil,1991,433.0,12,0.2521395789177072,0.9,0.0,0.05833333333333333,2.0,0.2833333333333333,0.008333333333333333,El Nino
Coconut oil,1992,577.5833333333334,12,0.28811500412749513,0.975,0.0,0.15833333333333335,2.1,0.9,0.2833333333333333,El Nino
Coconut oil,1993,450.25,12,-0.24904974807391955,0.6583333333333333,0.0,0.0,1.1,0.975,0.9,El Nino
Coconut oil,1994,607.5,12,0.2995491911586381,0.6,0.0,0.0,1.3,0.6583333333333333,0.975,El Nino
Coconut oil,1995,669.5833333333334,12,0.09730345316890965,0.24166666666666667,0.4166666666666667,0.0,1.2,0.6,0.6583333333333333,Neutral/mixed
Coconut oil,1996,751.5833333333334,12,0.11552646399409472,0.0,0.3666666666666667,0.0,-0.2,0.24166666666666667,0.6,Neutral/mixed
Coconut oil,1997,656.8333333333334,12,-0.13475178441075908,1.2416666666666667,0.016666666666666666,0.26666666666666666,2.3,0.0,0.24166666666666667,El Nino
